iter	Passed	Remaining
0	239	238972
1	306	152803
2	376	125193
3	449	111921
4	525	104583
5	601	99601
6	675	95823
7	751	93160
8	846	93162
9	947	93769
10	1061	95441
11	1168	96239
12	1271	96536
13	1386	97676
14	1491	97931
15	1721	105861
16	1830	105851
17	1941	105904
18	2049	105830
19	2156	105666
20	2255	105144
21	2346	104333
22	2453	104214
23	2550	103701
24	2656	103604
25	2758	103344
26	2850	102709
27	2975	103288
28	3079	103111
29	3195	103333
30	3317	103700
31	3415	103311
32	3512	102930
33	3616	102739
34	3720	102568
35	3818	102243
36	3928	102259
37	4036	102198
38	4165	102638
39	4283	102813
40	4406	103076
41	4521	103130
42	4639	103247
43	4756	103347
44	4871	103389
45	5002	103755
46	5116	103750
47	5227	103685
48	5337	103597
49	5445	103459
50	5564	103540
51	5662	103232
52	5770	103099
53	5881	103032
54	5978	102717
55	6102	102866
56	6208	102717
57	6327	102762
58	6432	102587
59	6532	102340
60	6626	102005
61	6730	101820
62	6826	101533
63	6934	101418
64	7036	101212
65	7145	101117
66	7240	100828
67	7336	100557
68	7431	100270
69	7525	99978
70	7632	99871
71	7741	99781
72	7845	99625
73	7954	99537
74	8063	99445
75	8166	99282
76	8281	99268
77	8389	99163
78	8487	98953
79	8589	98784
80	8692	98627
81	8800	98525
82	8902	98355
83	9008	98237
84	9108	98051
85	9209	97882
86	9314	97752
87	9416	97592
88	9507	97318
89	9608	97152
90	9710	96999
91	9805	96775
92	9914	96694
93	10029	96666
94	10133	96539
95	10237	96404
96	10333	96195
97	10439	96086
98	10539	95922
99	10648	95839
100	10757	95756
101	10850	95523
102	10942	95295
103	11041	95129
104	11154	95078
105	11264	95004
106	11366	94865
107	11472	94751
108	11577	94639
109	11689	94577
110	11791	94434
111	11905	94393
112	12019	94349
113	12125	94242
114	12230	94121
115	12334	93993
116	12434	93844
117	12540	93732
118	12638	93566
119	12729	93351
120	12828	93189
121	12940	93126
122	13041	92986
123	13153	92926
124	13249	92744
125	13347	92581
126	13452	92474
127	13553	92334
128	13654	92192
129	13743	91978
130	13845	91844
131	13956	91773
132	14084	91816
133	14205	91806
134	14310	91691
135	14422	91625
136	14537	91576
137	14634	91412
138	14732	91259
139	14840	91164
140	14946	91059
141	15058	90989
142	15164	90880
143	15261	90720
144	15373	90651
145	15470	90492
146	15587	90451
147	15692	90337
148	15784	90152
149	15885	90016
150	15986	89881
151	16104	89848
152	16206	89716
153	16307	89587
154	16415	89489
155	16518	89367
156	16643	89363
157	16757	89302
158	16869	89228
159	16985	89171
160	17100	89113
161	17206	89007
162	17312	88898
163	17418	88789
164	17516	88641
165	17617	88510
166	17727	88422
167	17835	88327
168	17943	88232
169	18055	88151
170	18157	88026
171	18252	87868
172	18363	87784
173	18478	87719
174	18569	87542
175	18673	87427
176	18771	87282
177	18864	87117
178	18958	86953
179	19150	87243
180	19219	86966
181	19340	86927
182	19459	86875
183	19576	86816
184	19685	86723
185	19802	86662
186	19910	86563
187	20017	86459
188	20116	86319
189	20220	86203
190	20328	86104
